"","Cell_Type","Arm","HR","Lower_CI","Upper_CI","coef","se","p_value"
"1","CD103+ CD3+ T Cells","All",0.115957494551355,0.000811731256350643,16.5647687426479,-2.15453158130771,2.53158205737424,0.394735287547858
"2","CD103+ CD3+ T Cells","Control",0.00409157181868018,4.13024706550147e-07,40.532587232491,-5.49882607500897,4.69443950051437,0.241458603469175
"3","CD103+ CD3+ T Cells","Experimental",1.21506468497848,0.00264409341136005,558.36990566927,0.194797314040799,3.12772295330461,0.950339160545338
"4","CD152+ CD3+ T Cells","All",0.638422523126349,0.0249548140985063,16.3328533094306,-0.448754952882497,1.65407813523441,0.786158653685716
"5","CD152+ CD3+ T Cells","Control",0.0491943166936481,0.000316469496925723,7.64712181889347,-3.01197717651292,2.57469349464494,0.242065716706428
"6","CD152+ CD3+ T Cells","Experimental",15.200439878008,0.182781839258011,1264.09370549546,2.72132436677613,2.255544680488,0.227623100234252
"7","CD279+ CD3+ T Cells","All",2.53377148096318,0.446390555759405,14.3820200380821,0.92970889668131,0.885868278687042,0.293953176214081
"8","CD279+ CD3+ T Cells","Control",0.769013624486213,0.0514724217828584,11.4892972617497,-0.262646592486219,1.37964908689572,0.849017616457376
"9","CD279+ CD3+ T Cells","Experimental",8.15301596775435,0.602131468472572,110.393946921718,2.09838791619159,1.32944656539294,0.114475565890793
"10","CD366+ CD3+ T Cells","All",0.204008314286955,0.0092919494599565,4.47908078682123,-1.58959452965983,1.57605568157718,0.313171143880989
"11","CD366+ CD3+ T Cells","Control",0.0705068264269469,0.000838779362198388,5.92672256476409,-2.6520457451005,2.26101966824589,0.240818921095883
"12","CD366+ CD3+ T Cells","Experimental",1.08543997265927,0.0144988775658249,81.2600788507681,0.0819854095526806,2.20191262972149,0.970298648504992
"13","CD39+ CD3+ T Cells","All",0.65541921095293,0.114859269310952,3.74000587556585,-0.422480231348211,0.888571130652191,0.634458975672972
