"","gini_simpson","Time_Point","Sample"
"1",0.7,"T1","002-083"
"2",0.970462978579862,"T2","002-083"
"3",0.529478458049887,"T1","001-089"
"4",0.972321229672533,"T2","001-089"
"5",0.899408284023669,"T1","016-095"
"6",0.955901670106962,"T1","004-090"
"7",0.5,"T1","029-099"
"8",0.816326530612245,"T1","001-101"
"9",0.980440816326531,"T2","001-101"
"10",0.9248,"T1","022-105"
"11",0.967589140827157,"T2","022-105"
"12",0.960236686390533,"T2","016-104"
"13",0.857142857142857,"T1","004-110"
"14",0,"T1","016-114"
"15",0.802721088435374,"T2","016-114"
"16",0.790123456790123,"T1","005-109"
"17",0.5,"T2","005-109"
"18",0.892318244170096,"T2","051-092"
"19",0,"T1","802-079"
"20",0.641975308641975,"T2","802-079"
"21",0,"T2","802-070"
"22",0.486111111111111,"T1","802-096"
"23",0.902921953094963,"T2","802-096"
"24",0.900826446280992,"T1","802-056"
"25",0.921052631578947,"T2","802-056"
"26",0,"T2","016-116"
"27",0.469387755102041,"T1","801-097"
"28",0.906666666666667,"T2","801-097"
"29",0.960423009133152,"T1","001-115"
"30",0.968341260404281,"T2","001-115"
"31",0.666666666666667,"T1","802-085"
"32",0.72,"T1","802-080"
"33",0.901234567901235,"T2","802-080"
"34",0.90803728898967,"T1","802-078"
"35",0.90625,"T2","802-078"
"36",0.861602497398543,"T2","802-075"
"37",0.64,"T1","802-081"
"38",0.93563594228663,"T2","802-081"
"39",0.64,"T1","802-071"
"40",0.926688004877305,"T2","802-071"
"41",0.5,"T2","051-077"
"42",0.691358024691358,"T1","802-062"
"43",0.899862825788752,"T2","802-062"
"44",0.6281179138322,"T1","802-052"
"45",0.935787858864782,"T2","802-052"
"46",0.636678200692042,"T2","802-063"
"47",0.567901234567901,"T1","051-060"
"48",0.911242603550296,"T2","051-060"
"49",0.973246135552913,"T1","802-050"
"50",0.644628099173554,"T1","051-057"
"51",0.908599242833964,"T2","051-057"
"52",0,"T2","802-051"
"53",0.941029054741953,"T1","802-019"
"54",0.928798185941043,"T2","802-086"
"55",0.1171875,"T1","051-087"
"56",0,"T1","801-088"
"57",0,"T1","051-094"
"58",0.775510204081633,"T1","801-042"
"59",0.5,"T2","801-042"
"60",0.197530864197531,"T1","071-003"
"61",0.982628447809627,"T2","071-003"
"62",0.4966406879871,"T1","001-004"
"63",0,"T1","015-002"
"64",0.937283950617284,"T2","015-002"
"65",0,"T1","091-006"
"66",0.816326530612245,"T2","091-006"
"67",0.740740740740741,"T1","048-119"
"68",0.5,"T2","048-119"
"69",0.976454293628809,"T1","022-127"
"70",0.958861976163014,"T2","022-127"
"71",0.152777777777778,"T1","092-126"
"72",0.920447074293228,"T2","092-126"
"73",0.837370242214533,"T1","001-131"
"74",0.777777777777778,"T2","001-131"
"75",0.569444444444444,"T1","001-128"
"76",0.5,"T1","092-008"
"77",0.914933837429111,"T2","092-008"
"78",0.855,"T1","034-137"
"79",0.745953182684896,"T1","022-012"
"80",0.793388429752066,"T2","022-012"
"81",0.625,"T1","091-010"
"82",0.92,"T2","091-010"
"83",0.835555555555556,"T1","071-009"
"84",0,"T2","071-009"
"85",0,"T1","005-007"
"86",0,"T2","005-007"
"87",0,"T1","005-013"
"88",0,"T1","001-014"
"89",0,"T2","001-014"
"90",0,"T2","001-017"
"91",0.985605702583491,"T2","092-140"
"92",0.56,"T2","801-141"
"93",0.833333333333333,"T1","048-016"
"94",0.893194706994329,"T2","048-016"
"95",0.773148148148148,"T1","098-155"
"96",0.871913580246914,"T1","092-142"
"97",0.5,"T2","092-142"
"98",0.924554183813443,"T1","802-130"
"99",0.878472222222222,"T1","802-108"
"100",0.7578125,"T1","802-100"
"101",0.955621301775148,"T2","092-144"
"102",0,"T1","802-122"
"103",0.730864197530864,"T2","802-122"
"104",0.666666666666667,"T1","802-117"
"105",0.78125,"T2","801-129"
"106",0,"T1","029-020"
"107",0.881172839506173,"T2","029-020"
"108",0.375,"T1","001-134"
"109",0.84297520661157,"T1","004-112"
"110",0.5,"T1","004-107"
"111",0.866535174227482,"T1","029-021"
"112",0.974792899408284,"T2","029-021"
"113",0.984178113900463,"T2","048-022"
"114",0.444444444444444,"T1","022-026"
"115",0.429752066115702,"T1","022-025"
"116",0.84297520661157,"T1","001-023"
"117",0.89158950617284,"T2","001-023"
"118",0.7825,"T1","802-120"
"119",0.862040816326531,"T1","801-151"
"120",0.907372400756144,"T2","801-151"
"121",0.977979786207745,"T1","802-150"
"122",0.957921432638062,"T1","022-152"
"123",0,"T1","076-146"
"124",0.933431952662722,"T1","076-068"
"125",0.71604938271605,"T1","076-102"
"126",0.666666666666667,"T1","091-018"
"127",0,"T2","091-018"
"128",0.680555555555556,"T1","802-149"
"129",0.890173037190083,"T1","802-143"
"130",0.710743801652893,"T1","802-153"
"131",0.584444444444444,"T1","802-103"
"132",0,"T1","802-139"
"133",0.919659735349716,"T2","803-029"
"134",0.666666666666667,"T1","005-027"
"135",0.817777777777778,"T2","005-027"
"136",0.984252524539227,"T1","015-028"
"137",0.95404958677686,"T2","001-030"
