,Mixture,CD4+ Stressed,CD8+ GZMK+ Tm,CD4+ Activated,CD4+ Tregs,CD8+ Early Activation,NK cells CD56 high,CD4+ Th17,CD8+ Activated,CD8+ ISG,CD4+ Tn,CD8+ Exhausted,CD8+ Stressed,NK cells CD56 low,CD4+ T memory,CD4+ Tfh,DCs AREG+,M2 APOC1+ APOE+,Macro SELENOP+ SLC40A1+,Monocytes EREG+,M2 TREM2+ SPP1+,Mastocytes,DCs CD1c+,Inflammatory Monocytes,Immunoregulatroy PMNs,Proinflammatory PMNs,B Cells & Plasma Cells,P-value,Correlation,RMSE,timepoint,patient_id
1,SRC33_T1,0.044945313,0.020838716,0.127965177,0,0.014243364,0.068948655,0.046759467,0.171285659,0,0.012179807,0.05502291,0,0,0.02045299,0,0.09362409,0,0.062174084,0.0084861,0,0.018053002,0.032791223,0,0.132086943,0.018023761,0.05211874,0,0.266164642,0.966064021,pre_treatment,071-003
2,SRC33_T2,0.034224275,0.063286527,0.038732483,0,0.033266437,0.00221982,0.038713192,0.109843236,0.023228099,0.032051814,0.031446148,0.025071296,0.036921435,0.069167301,0,0,0.065193263,0.18229896,0.082089822,0,0.008993362,0,0,0.060917347,0.028531586,0.033803597,0,0.816182774,0.675714064,surgical_resection,071-003
3,SRC35_T1,0.016209865,0.011259737,0.13898153,0,0,0.062498762,0.050342879,0.157826212,0,0.036957381,0.05174451,0,0.012873585,0.044634986,0.000109378,0.079513813,0,0.070980005,0.036772584,0,0.017576116,0.038611409,0,0.125965613,0.020745488,0.026396148,0,0.282141562,0.961893023,pre_treatment,015-002
4,SRC36_T1,0.029860009,0.038604535,0.057383768,0.021116713,0.014819116,0.031716028,0.043362393,0.147953038,0.014786128,0.021068751,0.053752416,0,0.03320603,0.032308515,0.023237577,0.134072249,0,0.052041132,0,0,0.025364507,0,0,0.152263061,0,0.073084034,0,0.279664877,0.961104861,pre_treatment,091-006
5,SRC36_T2,0,0.082029365,0,0.021910595,0.017808936,0.00901607,0.054348951,0.026537143,0,0,0.051788372,0.013634637,0.04857201,0.129696468,0.023026511,0.088942998,0,0.042499314,0.167321981,0.016487741,0.06308504,0,0,0.093802026,0.021032793,0.02845905,0,0.618639845,0.785918338,surgical_resection,091-006
6,SRC37_T1,0.000766886,0.007000876,0,0.010494023,0.02242292,0.026639495,0.072192192,0.118987938,0,0.035290004,0.02412806,0.042386367,0.031796438,0.061068025,0.029468179,0.04599964,0,0.076523163,0.222460174,0,0.029095782,0,0,0.074414599,0.042334541,0.026530698,0,0.800805515,0.604961814,pre_treatment,092-008
7,SRC37_T2,0.00510276,0.03041143,0,0.021614688,0.015349209,0.012137154,0.051662914,0.055063928,0.047115049,0,0.054231943,0.032843287,0.035201618,0.120327209,0.035330374,0.081093375,0,0.093069953,0.086369728,0.073047728,0.051348861,0,0.016527945,0.044507556,0.012596153,0.025047138,0,0.641597424,0.7916536,surgical_resection,092-008
8,SRC38_T1,0.017810233,0.017995725,0.040323945,0,0.018262046,0.020648841,0.0485197,0.133176873,0,0.03796215,0.041505394,0.012943829,0.039136758,0.069415362,0.030130201,0.11206147,0,0.123686814,0.068318119,0,0.0436656,0,0.008904464,0.057114862,0.022198925,0.03621869,0,0.311683082,0.95751781,pre_treatment,022-012
9,SRC38_T2,0.00892125,0.044020696,0.071252956,0,0.023366329,0.030290317,0.058726772,0.068513817,0.055087092,0,0.046086324,0.009129701,0.009295145,0.085204814,0.058072597,0.04929476,0.083320224,0.142376394,0.00915651,0,0.039160115,0,0.024876551,0.012547544,0.038171108,0.033128985,0,0.382619706,0.924567339,surgical_resection,022-012
10,SRC40_T1,0.024914089,0.027574454,0.017560843,0,0.025849688,0.015522364,0.039488189,0.14030992,0.036888714,0.066892571,0.050846751,0,0.035893852,0.02750796,0,0.073335094,0,0.134056476,0.092829975,0.013425701,0.028033687,0,0,0.09020201,0.033933485,0.024934176,0,0.689788327,0.760182356,pre_treatment,071-009
11,SRC40_T2,0.021348169,0.015409225,0,0,0.030239008,0.004636965,0.031106787,0.054410709,0.01853181,0.044965617,0.044909158,0.038995158,0.031153823,0.111479132,0,0.050764884,0,0.16027107,0.173153602,0.011950483,0.027836615,0,0,0.066435719,0.051062919,0.011339148,0,0.667764751,0.746310727,surgical_resection,071-009
12,SRC43_T1,0.00273328,0.013789704,0.024202832,0.005964519,0.033744663,0.025415052,0.054195374,0.110094173,0.029365995,0.056351727,0.055173845,0,0.018320223,0.049528396,0.005901987,0.063615372,0,0.07122539,0.156340379,0.028947864,0.063104353,0,0,0.092436461,0.02538188,0.014166533,0,0.769839497,0.669845234,pre_treatment,001-014
13,SRC45_T1,0.010587213,0.015540662,0,0.027660315,0.0258312,0.014269844,0.040155382,0.093793672,0.035441025,0.076663906,0.062306946,0,0.036218676,0.060224405,0,0.104946603,0,0.078139162,0.11031104,0.017979244,0.038573354,0,0,0.093500483,0.030247585,0.027609285,0,0.606923952,0.805210784,pre_treatment,048-016
14,SRC45_T2,0.014782207,0.014162126,0,0.024197549,0.028271184,0,0.032845037,0.043016094,0.029656579,0.082672345,0.037918616,0.022836592,0.033304184,0.071928502,0,0.046040375,0,0.106915289,0.23148778,0.032992736,0.020809318,0,0,0.063620543,0.046309204,0.016233741,0,0.862340818,0.517135537,surgical_resection,048-016
15,SRC46_T1,0.013522684,0.014979174,0.00126647,0,0.031629871,0.006050486,0.040362936,0.071737087,0.036399095,0.094354466,0.041662351,0,0.02049198,0.05198958,0,0.01869024,0,0.161449624,0.160138368,0.049352847,0.047025498,0,0,0.087684539,0.041322883,0.00988982,0,0.733059402,0.692882516,pre_treatment,029-020
16,SRC48_T1,0.001052974,0.08072419,0.09265994,0,0.018327771,0.012954151,0.053728063,0.19859626,0,0.031178638,0.024228992,0.024895284,0.034223937,0.02518966,0.008671758,0.070942222,0,0.094912655,0.038128589,0,0.027150973,0.011642964,0.014823081,0.048108362,0.013615548,0.074243989,0,0.769846263,0.759845126,pre_treatment,029-021
17,SRC48_T2,0.015480743,0.113544421,0.016869834,0,0.009632298,0.015525867,0.056352253,0.069216923,0,0.014186918,0.035402314,0.023471541,0.03575743,0.095412874,0,0.045102483,0,0.181371948,0.125694206,0,0.040361357,0,0.015137126,0.037938338,0.019952239,0.033588887,0,0.816232669,0.642067722,surgical_resection,029-021
18,SRC49_T1,0.005524275,0.018636323,0.016338275,0,0.0201807,0.011126636,0.050852648,0.123332762,0.025948893,0.041404674,0.066595808,0.00797397,0.037984685,0.044177251,0.037391479,0.091733651,0,0.125915712,0.114194611,0,0.047064006,0,0,0.046152346,0.034099066,0.033372226,0,0.262065915,0.995146075,pre_treatment,048-022
19,SRC49_T2,0.035072328,0.055950933,0.063574578,0,0.022642218,0.006384236,0.041676563,0.183396935,0.045230952,0.041475538,0.040330043,0.018329167,0.05576655,0.01709703,0,0.025124911,0,0.157153851,0.018502052,0,0.009909262,0.026780643,0,0.067686351,0.027353852,0.040562006,0,0.45733801,0.895856377,surgical_resection,048-022
20,SRC52_T1,0.018221929,0.073837786,0.031036407,0,0.029142056,0.025270641,0.038355037,0.132373358,0.017346612,0.054753672,0.03982629,0,0.032647598,0.033624828,0,0.047301924,0,0.11792006,0.151993247,0,0.022984253,0,0,0.066723057,0.037382188,0.029259056,0,0.780882797,0.66294104,pre_treatment,001-023
21,SRC52_T2,0.014832453,0.015918745,0.014572999,0,0.022696117,0.004643478,0.048885234,0.062819477,0.001179387,0.043611013,0.030525433,0.040325021,0.033515117,0.084415927,0,0.013583728,0.053771043,0.152865038,0.211392228,0,0.032050033,0,0,0.055396881,0.038801182,0.024199465,0,0.722009134,0.693309537,surgical_resection,001-023
22,SRC54_T1,0.002554796,0.009500604,0.017713713,0,0.032806251,0.018229782,0.046250101,0.106622447,0.046664044,0.066281395,0.045138599,0,0.035003347,0.011181575,0.015326371,0.100794493,0,0.108829193,0.041183012,0.096569437,0.066923271,0,0.013411947,0.088824596,0.010612057,0.019578969,0,0.701289415,0.76507792,pre_treatment,803-029
23,SRC54_T2,0.019303879,0.006454515,0.035417956,0,0.023371865,0.017861712,0.044703212,0.066055693,0,0.042421891,0.030986209,0.028956546,0.033138244,0.117532215,0,0.045566947,0,0.131526621,0.186072811,0,0.035271253,0,0,0.066677091,0.04072434,0.027956999,0,0.27480865,1.030709866,surgical_resection,803-029
24,SRC55_T1,0.011830954,0.022915512,0.023073826,0,0.014262621,0.012024263,0.063820711,0.154162146,0.042543434,0.022663426,0.051985027,0,0.03485277,0.065181199,0.066065797,0.119760653,0,0.096196562,0.01425979,0,0.05233226,0,0,0.067650219,0.013584375,0.050834455,0,0.613405183,0.841503425,pre_treatment,005-027
25,SRC55_T2,0.011241396,0.053963235,0,0.006169692,0.023251837,0.003582506,0.044386403,0.053494845,0.042819823,0.027912074,0.035562294,0.039388169,0.015209114,0.093592594,0.029490896,0.085490883,0,0.148278078,0.112243738,0.032983492,0.036202056,0,0.0120286,0.038554035,0.034123686,0.020030554,0,0.797704456,0.665770728,surgical_resection,005-027
26,SRC58_T1,0.004712325,0.008453302,0,0.007621647,0.019856757,0.016527872,0.0513452,0.10254048,0.051542488,0.039969848,0.078484508,0.058677606,0.037956296,0.04288791,0.03825313,0.108580521,0,0.057577084,0.108182813,4.10E-05,0.038161544,0,0,0.070628527,0.023857948,0.034141207,0,0.39637929,0.92047169,pre_treatment,022-032
27,SRC60_T1,0.00368151,0.01615799,0,0.029287492,0.017662581,0.001364522,0.054673639,0.085148946,0.054830736,0,0.08064598,0,0.040259023,0.104446387,0.121820788,0.10998911,0,0.021590076,0.000966422,0.061222884,0.048794716,0,0,0.101725414,0.014466549,0.031265235,0,0.423863169,0.918102449,pre_treatment,071-034
28,SRC60_T2,0.011234125,0,0,0.019297429,0.009466362,0.014355527,0.064738481,0.057332172,0.063470284,0,0.087334445,0.016353114,0.021101732,0.120866571,0.095219781,0.095247062,0,0.06728353,0.044304497,0.025406924,0.055310834,0,0,0.068778822,0.026917396,0.035980909,0,0.502072995,0.883649303,surgical_resection,071-034
29,SRC62_T2,0.021432782,0.086441896,0,0,0.019210201,0.018095771,0.037618261,0.082883511,0,0.033959622,0.024754154,0.068801442,0.026667583,0.066435467,0,0,0.052461259,0.122718539,0.212085612,0,0.010740226,0,0.025414056,0.01321166,0.050188037,0.026879922,0,0.932320752,0.432135009,surgical_resection,001-038
30,SRC64_T1,0.004838308,0.053227852,0.030939033,0,0.025633827,0.004456128,0.046811975,0.089101944,0.010653988,0.00621032,0.035020631,0.029001104,0.024275949,0.06076616,0.032871991,0.036631622,0.013321416,0.100725596,0.209534882,0.003608374,0.054458788,0,0,0.073675764,0.031437945,0.022796402,0,0.452174819,0.924832048,pre_treatment,092-037
